url_length,num_special_chars,num_dots,has_ip_address,has_at_symbol,domain_age_days,is_https,has_subdomain,num_urgency_words,num_spelling_errors,has_money_terms,num_links,sender_reputation_score,has_spf_record,has_dkim,has_attachment,attachment_suspicious,email_length,Label
25,4,1,0,0,1105,1,0,0,0,0,1,0.9243312453449084,1,1,1,0,923,0
73,7,3,0,0,2904,1,1,1,1,0,0,0.6348134260366217,1,1,0,0,1145,0
50,4,2,0,0,790,1,1,2,1,1,1,0.8798235837806532,1,1,0,0,1172,0
25,10,3,0,1,2971,1,0,1,0,1,0,0.9420354655624145,1,1,0,0,567,0
113,18,9,1,1,39,0,1,5,4,1,10,0.10740196690113413,0,1,0,0,237,1
78,3,3,0,0,1139,1,0,2,1,0,4,0.8259273255840789,1,0,1,0,916,0
61,7,1,0,0,764,1,1,2,0,1,3,0.9293389907784562,1,1,1,0,896,0
29,11,1,1,0,4392,1,0,2,0,0,1,0.6918809261448537,1,1,0,0,609,0
54,6,2,0,0,3035,1,0,0,1,0,2,0.8383766382922817,1,1,0,0,1379,0
88,34,10,1,1,171,1,1,11,6,1,8,0.33129970097488737,0,0,1,1,289,1
45,10,1,0,0,4821,1,1,2,1,1,3,0.7309039780678129,1,1,0,0,304,0
86,43,5,1,1,178,0,0,4,7,1,6,0.1704725208943892,0,0,1,1,229,1
58,10,3,0,0,4489,1,1,1,1,1,0,0.7589951969690512,1,1,0,0,1237,0
64,4,2,0,0,427,0,1,0,0,0,2,0.8068058895546864,1,1,1,0,1442,0
65,9,2,0,0,4562,1,0,0,1,0,2,0.7075617218245925,0,1,0,0,1188,0
52,6,1,0,0,3928,1,0,0,1,1,0,0.9580131006420678,1,1,0,0,589,0
135,41,13,1,0,67,0,0,5,3,1,10,0.126145497306447,0,0,0,0,466,1
38,8,1,0,0,1823,1,0,2,0,1,4,0.8403369703463657,1,1,0,0,1195,0
61,11,2,0,0,4039,1,1,2,0,0,4,0.7309252755318751,1,1,1,0,309,0
117,26,11,0,0,121,0,1,5,2,1,6,0.06983594049887457,1,1,1,1,118,1
38,7,3,0,0,3090,1,0,2,1,1,1,0.8019499260381229,1,1,0,0,331,0
101,23,5,0,0,105,1,1,5,4,1,10,0.2543818828654914,0,0,0,1,663,1
90,21,6,1,0,103,0,1,7,4,1,13,0.2944141601704262,0,0,0,1,375,1
29,5,2,0,0,401,1,1,2,0,0,1,0.6831082517758913,0,1,0,0,1228,0
136,31,6,1,1,78,0,1,5,4,0,10,0.027485471089584393,0,0,1,1,718,1
96,20,7,0,0,37,1,1,6,7,1,13,0.1359080969195375,0,0,1,1,799,1
181,24,11,1,0,96,0,1,3,4,1,9,0.02776953709843735,0,0,1,0,248,1
77,7,1,0,0,821,1,0,0,1,1,0,0.7508145432737011,1,1,1,1,1062,0
49,7,2,0,0,3664,1,1,1,1,0,0,0.8045298174644506,1,1,0,0,410,0
49,11,3,0,0,2235,1,0,0,1,0,4,0.745800385819517,1,1,0,0,1031,0
155,43,5,1,1,3,0,1,6,7,1,12,0.00295676057771721,0,0,1,1,582,1
224,21,13,1,1,114,1,1,9,4,0,10,0.15180116134988744,0,0,0,1,606,1
20,2,1,0,0,1251,1,0,2,1,0,4,0.9944111712785719,1,1,0,0,1218,0
204,38,13,1,1,113,0,1,9,3,1,13,0.29966312927061267,0,0,1,0,467,1
